"!Template name","LANG_SV","LANG_EN"
"_code","sv","en"
"_numberOfPages","$pages$ sidor","$pages$ pages"
"_documentText","Dokument","Document"
"_mainDocument","Huvuddokument","Main document"
"_attachedDocument","Bilaga $number$","Attachment $number$"
"_documentAttachedBy","Bifogat av $author$","Attached by $author$"
"_archiveCSV","Ladda ner metadata (alla dok), CSV","Download metadata (all docs), CSV"
"_archiveZIP","Ladda ner valda dokument, PDF","Download selected documents, PDF"
"_verificationMethod","Verifiering","Verification"
"_flashEmailIncorectlyFormed","E-posten är ej korrekt formaterad.","Email is incorrectly formated."
"_filterBySent","Inväntar signatur","Awaiting signature"
"_paymentPlanTeam","Fastpris","Fixed price"
"_paymentNumberOfUsers","Antal användare","Number of users"
"_paymentPlanCurrentPlan","Nuvarande abonnemang","Current subscription"
"_paymentPlanPayments","Betalningar","Payments"
"_paymentPlanNextPayment","Nästa betalning","Next payment"
"_paymentPlanPreviousPayments","Tidigare betalningar","Previous payments"
"_paymentPlanTotal","Totalt","Total"
"_Subscription","Abonnemang","Subscription"
"_paymentPlanNone","Ingen","None"
"_paymentPlanChangeBilling","Byt betalningsinfo","Change billing information"
"_billingInformation","Betalnings information","Billing information"
"_cardInformation","Kort information","Card information"
"_paymentChangeCard","Byt kort","Change card"
"_paymentPlanContact","Kontakta oss","Contact us"
"_paymentPlanEnterprise","Enterprise","Enterprise"
"_paymentPlanTrial","Trial","Trial"
"_paymentPlanSubscribe","Bekräfta köp","Subscribe"
"_paymentPlanPerMonth","per månad","per month"
"_paymentPlanSavingSubscription","Sparar prenumeration","Saving subscription"
"_paymentPlanLoading","Laddar","Loading"
"_paymentPlanAskViktor","För att byta prisplan, var god kontakta <a href='mailto:viktor@scrive.com'>vår säljavdelning</a>.","To change your plan, please contact <a href='mailto:viktor@scrive.com'>our sales department</a>."
"_paymentPlanPurchase","Köp","Purchase"
"_paymentPlanCancelSubscription","Avsluta prenumeration","Cancel subscription"
"_paymentPlanAlreadySubscribed","Du är redan prenumerant","You already have a subscription"
"_paymentPlanAlreadySubscribedGo","Gå till <a href='/Scrive/account#subscription'>dina inställningar</a> för att hantera din prenumeration.","Please go to <a href='/Scrive/account#subscription'>your subscription settings</a> to manage your subscription."
"_paymentPlanSendMessage","Skicka meddelande","Send message"
"_paymentPlanPlaceholder","Beskriv ditt behov här i några få meningar. Vi återkommer till dig direkt.","Please describe your needs here in a few sentences. We'll get back to you right away."
"_blockingFreeCreateTitle","Köp ett abonnemang","Purchase a subscription"
"_blockingFreeCSVHeader","Denna fil innehåller X1 mottagare och du har endast X2 fria dokument kvar att skicka. För att skicka vänligen <a href='/Scrive/account#subscription'>köp ett abonnemang</a>.","Your file contains X1 recipients and you have only X2 free documents left to send. To send please <a href='/Scrive/account#subscription'>purchase a subscription</a>."
"_blockingFreeClickTitle","Köp ett abonnemang","Purchase a subscription"
"_blockingFreeHasHeadline","Du har skickat XX av dina 3 gratis dokument den här månaden. <a href='#'>Uppgradera nu för att skicka obegränsat med dokument</a>.","You have sent XX of your 3 free documents this month. <a href='#'>Upgrade now to send unlimited documents.</a>"
"_blockingFreeHasSubtext1","<a>Köp ett abonnemang</a>","<a>Purchase a subscription</a>"
"_blockingFreeHasNotHeadline","Du har skickat alla dina fria dokument denna månad.","You have sent all your free documents this month."
"_blockingFreeHasNotSubtext1","<a>Köp ett abonnemang för att kunna skicka mer denna månad</a>","<a>Purchase a subscription to send more this month</a>"
"_blockingFreeHeading","Du har skickat alla dina fria dokument denna månad. Köp ett abonnemang för att kunna skicka mer denna månad.","You have sent all your free documents this month. Purchase a subscription to send more this month."
"_blockingOverdueCreateTitle","Misslyckad betalning","Payment failure"
"_blockingOverdueCreateBody","Det uppstod ett problem med din senaste betalning. Var vänlig och besök betalsidorna och kontrollera din betalningsinformation. Du kan inte skicka fler dokument tills problemet är löst.","There was something wrong with your last payment. Please visit the <a href='/Scrive/account#subscription'>payments page</a> and double-check your billing information. You cannot send more documents until this is resolved."
"_blockingOverdueCSVBody","Det uppstod ett problem med din senaste betalning. Var vänlig och besök betalsidorna och kontrollera din betalningsinformation. Du kan inte skicka fler dokument tills problemet är löst.","There was something wrong with your last payment. Please visit the <a href='/Scrive/account#subscription'>payments page</a> and double-check your billing information. You cannot send more documents until this is resolved."
"_blockingOverdueHeadline","Misslyckad betalning","Payment failure"
"_blockingOverdueSubtext1","Det uppstod ett problem med din senaste betalning. Var vänlig och besök betalsidorna och kontrollera din betalningsinformation. Du kan inte skicka fler dokument tills problemet är löst.","There was something wrong with your last payment. Please visit the <a href='/Scrive/account#subscription'>payments page</a> and double-check your billing information. You cannot send more documents until this is resolved."
"_blockingOverdueSubtext2","Vänligen besök <a>betalningssidan</a> och kontrollera din betalningsinformation.","Please visit the <a>payments page</a> and double-check your billing information."
"_blockingDunningHeadline","Misslyckad betalning","Payment failure"
"_blockingDunningSubtext1","Vi försöker fortfarande att bearbeta denna månads betalning. Vi fortsätter försöka i 7 dagar till. Du kan fortsätta att använda tjänsten som vanligt tills vidare.","We are still trying to process this month's payment. We will continue to try for seven more days. You can continue to use the service as normal until further notice."
"_blockingDunningSubtext2","Vänligen besök <a href='/Scrive/account#subscription'>betalningssidan</a> och kontrollera din betalningsinformation för att undvika avbrott i tjänsten.","Please visit the <a href='/Scrive/account#subscription'>payments page</a> and double-check your billing information to avoid interruptions in your service."
"_blockingCanceledCreateTitle","Förnya ditt abonnemang","Renew your account"
"_blockingCanceledCreateBody","Du har valt att avbryta ditt abonnemang. Besök <a href='/Scrive/account#subscription'>betalningssidan</a> för att förnya ditt abonnemang.","You have chosen to cancel your subscription. Visit the <a href='/Scrive/account#subscription'>payments page</a> to renew your subscription."
"_blockingCanceledCSVBody","Du har valt att avbryta ditt abonnemang. Besök <a href='/Scrive/account#subscription'>betalningssidan</a> för att förnya ditt abonnemang.","You have chosen to cancel your subscription. Visit the <a href='/Scrive/account#subscription'>payments page</a> to renew your subscription."
"_blockingCanceledHeadline","Varje månad kan du skicka 3 dokument gratis. Skickade denna månad: ","Every month you can send 3 documents for free. Sent so far: "
"_blockingCanceledSubtext1","Du har valt att avbryta ditt abonnemang.","You have chosen to cancel your subscription."
"_blockingCanceledSubtext2","Besök betalningssidan för att förnya ditt abonnemang","Visit the <a href='/Scrive/account#subscription'>payments page</a> to renew your subscription."
"_blockingDeactivatedCreateTitle","Ditt konto har avaktiverats","Your account has been deactivated"
"_blockingDeactivatedCreateBody","Ditt konto har avaktiverats av Scrives administratörer. Vänligen kontakta <a href='mailto:support@scrive.com'>Scrives support</a> för att återaktivera kontot.","Your account has been deactivated by Scrive administration. Please contact <a href='mailto:support@scrive.com'>Scrive support</a> to reactivate the account."
"_blockingDeactivatedCSVBody","Ditt konto har avaktiverats av Scrives administratörer. Vänligen kontakta <a href='mailto:support@scrive.com'>Scrives support</a> för att återaktivera kontot.","Your account has been deactivated by Scrive administration. Please contact <a href='mailto:support@scrive.com'>Scrive support</a> to reactivate the account."
"_blockingDeactivatedHeadline","Ditt konto har avaktiverats av Scrives administratörer","Your account has been deactivated by Scrive administration"
"_blockingDeactivatedSubtext1","Vänligen kontakta <a href='mailto:support@scrive.com'>Scrives support</a> för att återaktivera kontot.","Please contact <a href='mailto:support@scrive.com'>Scrive support</a> to reactivate the account."
"_blockingWillCancelHeadline","Du har valt att återkalla ditt abonnemang och det kommer att avslutas inom XX dagar","You have chosen to discontinue your subscription and it will end in XX days"
"_blockingWillCancelSubtext1","Du kan <a href='/Scrive/account#subscription'>förnya ditt abonnemang</a> när du vill.","You may <a href='/Scrive/account#subscription'>renew your subscription</a> at any time."
"_blockingUsedAllHeadline","Du har nått denna månads maxgräns på 100 skickade dokument","You have reached the monthly usage limit of 100 sent documents"
"_blockingUsedAllSubtext1","Vänligen <a href='mailto:support@scrive.com'>kontakta supporten</a> för att utöka gränsen. Vi beklagar besväret.","Please <a href='mailto:support@scrive.com'>contact support</a> to increase the limit. Sorry for the inconvenience."
"_blockingPayingCreateTitle","Månads maxgräns","Monthly usage limit"
"_blockingPayingCreateBody","Du har nått denna månads maxgräns på 100 skickade dokument. Vänligen <a href='mailto:support@scrive.com'>kontakta supporten</a> för att utöka gränsen. Vi beklagar besväret.","You have reached the monthly usage limit of 100 sent documents. Please <a href='mailto:support@scrive.com'>contact support</a> to increase the limit. Sorry for the inconvenience."
"_blockingPayingCSVBody","Denna fil innehåller X1 mottagare och du har endast X2 fria dokument kvar att skicka. Vänligen <a href='mailto:support@scrive.com'>kontakta supporten</a> för att utöka gränsen.","Your file contains X1 recipients and you have only X2 documents left to send. Please <a href='mailto:support@scrive.com'>contact support</a> to increase the limit."
"_blockingButtonDoubleCheck","Kontrollera faktureringsinformation","Check billing info"
"_blockingButtonReinstate","Förnya ditt abonnemang","Renew your account"
"_blockingButtonContact","Kontakt oss","Contact us"
"_paymentsEmailThanksForChoosingScrive","Tack för att du valt Scrive","Thank you for subscribing to Scrive"
"_paymentsEmailSeeDetailsBelow","Se detaljer nedan","Your order details are"
"_paymentsEmailDescription","Planen","Plan"
"_paymentsEmailTotal","Totalt","Total"
"_paymentsEmailTransactionDate","Transaktionsdag","Transaction date"
"_paymentsEmailNextTransactionDate","Nästa transaktionsdag","Next transaction date"
"_paymentsEmailCreditCardCharged","Ditt kreditkort belastades med","Your credit card has been charged"
"_paymentsEmailQuestion","Om du har några frågor vänliga kontakta oss på <a href='accounting@scrive.com'>accounting@scrive.com</a>. Tack för att du väljer Scrive.","Please keep this email for your records.  If you have any questions, please contact <a href='accounting@scrive.com'>accounting@scrive.com</a>. Thanks for your purchase."
"_paymentsEmailBilledTo","Faktura avser","Billed to"
"_paymentsDeclinedEmailSubject","Problem med din kreditkortsbetalning","Problem billing your credit card"
"_paymentsDeclinedEmailHeader","Problem med din kreditkortsbetalning","Problem billing your credit card"
"_paymentsDeclinedEmailSorry","Vi måste tyvärr meddela att din senaste betalning ej gick att genomföra. Vänligen kontrollera att dina kontouppgifter är korrekta och att de stämmer överens med ditt kreditkort. Se detaljer gällande betalningen nedan:","We regret to inform you that your most recent subscription payment was declined. Please check to see if your billing information correctly matches your credit card. Here are the details of your declined payment:"
"_paymentsDeclinedEmailCheck","<a href='$ctxhostpart$/account#subscription'>För att säkerställa att ditt abonnemang fortsatt ska vara aktivt, vänligen uppdatera din konto- och faktureringsinformation.</a> Om du har några frågor, vänligen kontakta oss på <a href='accounting@scrive.com'>accounting@scrive.com</a>.","<a href='$ctxhostpart$/account#subscription'>Please update your billing information to ensure the continuation of your subscription.</a> If you have any questions, please contact <a href='mailto:accounting@scrive.com'>accounting@scrive.com</a>."
"_paymentsEmailExpiredSubject","Kontot har gått ut","Account Expired"
"_paymentsEmailExpiredQuestions","Tack för ditt köp! Var vänlig och spara detta mail för din bokföring. Om du har några frågor, vänligen kontakta <a href='accounting@scrive.com'>accounting@scrive.com</a>.","Thanks for your purchase! Please keep this email for your records. If you have any questions, please contact <a href='accounting@scrive.com'>accounting@scrive.com</a>."
"_paymentsSubscribeHeader","Ingen bindning. Alla features ingår.","All features included in your monthly subscription."
"_paymentsSubheader"," "," "
"_paymentsChoosePlan","Välj betalningsplan","Choose payment plan"
"_paymentPlanTeamTag","Team med normal månatlig användning.","Teams with normal monthly usage."
"_paymentsTeamPrice","299 SEK/m","299 SEK/m"
"_paymentPlanPerUserPerMonth","per användare som skickar dokument","per user sending documents"
"_paymentPlanEnterpriseTag","Skräddarsydda lösningar för större bolag.","Tailored solutions for enterprises."
"_paymentPlanTrialTag","3 gratismånader","3 free months"
"_paymentsUser","Användare","User"
"_paymentsErrorsEmptyField","Obligatoriskt fält","Required field"
"_paymentsErrorsMissingFullAddress","Var vänlig ange adress.","Please enter your full address."
"_paymentsErrorsInvalid","Ogiltig","Invalid"
"_paymentsErrorsCardDeclined","Transaktion nekad","Transaction declined"
"_paymentsErrorsAcceptTOS","Var vänlig acceptera användarvillkoren.","Please accept the terms of service."
"_paymentsErrorsInvalidQuantity","Ogiltigt antal","Invalid quantity"
"_paymentPlanForm","Rörligt pris","Variable price"
"_paymentPlanFormTag","Webbintegration eller team med låg snittanvändning.","Website integration or teams with low average use."
"_paymentPlanFormPrice","25 SEK/dok","25 SEK/doc"
"_paymentPlanPerMonthPerDoc","& 999 SEK/månad upp till 20 användare","& 999 SEK/month up to 20 users"
"_paymentsGetInTouch","få en offert idag","get a quote today"
"_paymentsQuote","Offert","Quote"
"_paymentsExpires","Löper ut","Expires"
"_paymentsCreditCardNumber","Kortnummer","Credit card number"
"_apiConfiramtionTitle","För att fortsätta, bevilja tillstånd","To proceed, grant the privileges"
"_apiConfiramtionHeader"," begär tillstånd att genomföra följande åtgärder i Scrive för din räkning:"," is requesting permission to perform the following actions in Scrive on your behalf:"
"_apiConfiramtionFooterNotLogged","Logga in på ditt Scrive-konto för att bevilja tillstånd. Om du inte har ett Scrive-konto kan du skapa ett konto genom att följa instruktionerna.","Log in to your Scrive account to grant privileges. If you don't have a Scrive account please follow the instructions to create an account."
"_apiConfiramtionFooterLogged","Klicka på knappen för att bevilja tillstånd.","Click the button to grant privileges."
"_apiConfiramtionReadPermission","Åtkomst till sparade dokument","Access documents"
"_apiConfiramtionCreatePersmission","Ladda upp dokument","Upload documents"
"_apiConfiramtionSendPermission","Skicka dokument","Send documents"
"_apiConfiramtionAccept","Bevilja tillstånd","Grant privileges"
"_apiConfiramtionLoginAndAcceptTitle","Logga in och bevilja tillstånd","Log in and grant privileges"
"_apiConfiramtionLoginAndAccept","Logga in och bevilja tillstånd","Log in and grant privileges"
"_apiConfiramtionCreateAccount","Skapa konto","Create account"
"_apiConfiramtionEnterEmailAdress","Fyll i din e-postadress","Enter your email address"
"_apiConfiramtionDeny","Föregående sida","Previous page"
"_apiDashboardDelete","Ta bort","Delete"
"_apiDashboardDeleteAll","Ta bort alla","Delete all"
"_apiDashboardGrantedPriviliges","Beviljade tillstånd","Granted privileges"
"_apiDashboardGrantedPriviligesDescription","Du har beviljat följande företag eller privatpersoner tillstånd att agera i ditt namn genom Scrive.","You have granted the following companies or individuals privileges to act on your behalf."
"_apiDashboardPersonalToken","Personligt åtkomstbevis","Personal access credentials"
"_apiDashboardpersonalTokenDescription","Använd detta åtkomstbevis för att få tillgång till ditt eget Scrive konto genom API:et utan OAuthhandskakning.","Use these credentials to access your own Scrive account through the API without OAuth handshake."
"_apiDashboardPersonalTokenCreate","Skapa","Create"
"_apiDashboardApiToken","Klientbevis","Client credentials"
"_apiDashboardApiTokenDescription","Klientbevis används för att låta dig begära tillgång till Scrive-konton genom OAuth.","Client credentials are used to allow you to request access to Scrive accounts using OAuth."
"_apiDashboardApiTokenCreate","Skapa","Create"
"_apiDashboardPersonOrCompany","Företag/Person","Company/Individual"
"_apiDashboardPrivilige","Rättigheter","Privilege"
"_more","Mer","More"
"_fromFilter","Från:","From:"
"_toFilter","Till:","To:"
"_cantSendReminderNoUser","Ingen användare matchar e-postadressen, därför kan inte lösenordspåminnelse skickas ut.","We could not send password reminder, because we don't have user with such email."
"_cantSendReminderTooMuch","Vi har nu skickat nytt lösenord för många gånger till denna mail. Vänligen vänta 24 timmar för att göra en ny förfrågan. ","We have now sent too many password reminders to this email. Please wait 24h to try again."
"_csvFilePersons"," en person för varje rad definierad i .csv filen "," one person for each row defined in the .csv file "
"_confirmAccountExistingUser","Ditt abonnemang är nu aktiverat. Var vänlig och logga in för att komma igång.","Your subscription is now active. Please log in to get started."
"_confirmAccountExistingUserHeader","Abonnemang aktiverat","Subscription successful"
"_confirmAccountCreatedUser","Vi har skickat dina användaruppgifter till din e-postadress. Gå till din inkorg och följ instruktionerna i mailet för att logga in första gången.","We have sent your account details to your email. Go to your inbox and follow the instructions in the email to login for the first time."
"_noDocumentChosen","Inga dokument valda.","No documents chosen."
"_youCantSendRemindersToThisDocuments","Det går inte att skicka påminnelser för några av de valda dokumenten.","Reminders can´t be sent for some of the selected documents."
"_youCantCancelThisDocuments","Du kan inte återkalla valda dokument.","You can't withdraw selected documents."
"_anyAuthor","Alla avsändare","Any sender"
"_notNamedParty","Ej namngiven part","Not named party"
"_authorParty","Upphovsman","Author"
"_filladitionfields","Extra uppgifter","Additional details"
"_filladitionfieldsdescription","Vänligen uppge extra information om dig själv.","Please submit additional information about yourself."
"_newDocumentTitle","Namnlös ","Untitled "
"_newTemplateTitle","Namnlös ","Untitled "
"_saveAsDraft","Spara som utkast","Save as draft"
"_createFromTemplateDescription","Välj en mall för att gå vidare","Select a template to continue"
"_paymentsCancelDialog","Är du säker på att du vill avsluta ditt abonnemang? Ditt abonnemang kommer fortsätta vara aktivt till slutet av faktureringsperioden. Du kommer kunna fortsätta använda ditt konto med 3 fria dokument i månaden även efter att ditt abonnemang är uppsagt.","Are you sure you would like to cancel your subscription? Your subscription will remain active until the end of your billing period. You can continue to use your account with 3 free documents per month even after your subscription expires."
"_paymentsCancelingSubscription","Avslutar abonnemang","Canceling subscription"
"_paymentsRenewingSubscription","Förnyar abonnemang","Renewing subscription"
"_paymentsRenewSubscription","Förnya abonnemang","Renew subscription"
"_paymentsRenewDialog","Är du säker på att du vill förnya ditt abonnemang? Du kommer att debiteras X1 per månad.","Are you sure you would like to renew your subscription? You will be charged X1 monthly."
"_paymentsBillingInfoSaved","Din betalningsinformation är nu sparad.","Your billing information has been saved."
"_paymentsWasCanceled","Du har valt att avbryta ditt abonnemang","You have chosen to discontinue your subscription."
"_paymentsCanceledDate","Du har valt att avbryta ditt abonnemang den X1.","You have chosen to discontinue your subscription on X1."
"_paymentsContactAdmin","Ditt konto är en del av ett företagskonto. Endast administratörer av ditt företag kan betala för ett abonnemang. Var vänlig och kontakta din administratör för att köpa ett abonnemang.","Your account is part of a company account. Only the administrator of your company can purchase a subscription. Please contact your administrator to purchase a subscription for the company."
"_paymentsMustBeAdmin","Ditt köp kunde inte genomföras","Your purchase chould not be processed"
"_paymentsSubscriptionRenewed","Ditt abonnemang har förnyats.","Your subscription has been renewed."
"_paymentsVat","Alla priser är exklusive moms.","All prices are exclusive of VAT."
"_paymentsMaxUsers","** Up to 20 users.","** Up to 20 users."
"_paymentsVat25","25% moms","25% VAT"
"_changePartyTo","Byt signerande part till ","Change signing party to "
"_simpliefiedTextNewDocumentEvidence","Ny signeringsprocess initierad","New signing process initiated"
"_simpliefiedTextRestartDocumentEvidence","Ny signeringsprocess initierad","New signing process initiated"
"_simpliefiedTextPreparationToPendingEvidence","En ny signeringsprocess inleds i Scrive.","A new signing process is initiated in Scrive."
"_simpliefiedTextCloseDocumentEvidence","Dokumentet förseglas och signeras digitalt av Scrive.","The document is sealed and digitally signed by Scrive."
"_simpliefiedTextCancelDocumentEvidence","Inbjudan att signera återkallas.","The invitation to sign is withdrawn."
"_simpliefiedTextRejectDocumentEvidence","Inbjudan att signera avvisas$if(text)$ med meddelandet: <BR/> <i>$text:noescape()$</i>$else$.$endif$","The invitation to sign is rejected$if(text)$ with message: <BR/> <i>$text:noescape()$</i>$else$.$endif$"
"_simpliefiedTextTimeoutDocumentEvidence","Inbjudan att signera återkallas automatiskt eftersom fördefinierat förfallodatum passerat.","The invitation to sign is withdrawn automatically because the predetermined due date has passed."
"_simpliefiedTextMarkInvitationReadEvidence","$if(viewing)$Mailet med inbjudan att granska läses.$else$Mailet med inbjudan att signera läses.$endif$","$if(viewing)$The email with the invitation to view is read.$else$The email with the invitation to sign is read.$endif$"
"_simpliefiedTextSignatoryLinkVisited","Dokumentet läses online.","The document is read online."
"_simpliefiedTextSignDocumentEvidence","Dokumentet signeras$if(eleg)$ med e-legitimation som identifieringsmetod$elseif(email)$ med email som identifieringsmetod$elseif(mobile)$ med SMS som identifieringsmetod$endif$.","The document is signed$if(eleg)$ with e-ID as identification method$elseif(email)$ with email as identification method$elseif(mobile)$ with SMS as identification method$endif$."
"_simpliefiedTextInvitationEvidence","$if(viewing)$En inbjudan att granska dokumentet skickas till $affectedsignatory$ via $_delivery_method()$$if(text)$ med meddelandet: <BR/> <i>$text:noescape()$</i>$else$.$endif$$else$En inbjudan att signera skickas till $affectedsignatory$ via $_delivery_method()$$if(text)$ med meddelandet: <BR/> <i>$text:noescape()$</i>$else$.$endif$$endif$","$if(viewing)$An invitation to view this document is sent to $affectedsignatory$ by $_delivery_method()$$if(text)$ with message: <BR/> <i>$text:noescape()$</i>$else$.$endif$$else$An invitation to sign is sent to $affectedsignatory$ by $_delivery_method()$$if(text)$ with message: <BR/> <i>$text:noescape()$</i>$else$.$endif$$endif$"
"_simpliefiedTextInvitationDeliveredByEmail","$if(viewing)$En inbjudan att granska levereras till $affectedsignatory$ via e-post.$else$En inbjudan att signera levereras till $affectedsignatory$ via e-post.$endif$","$if(viewing)$An invitation to view is delivered to $affectedsignatory$ by email.$else$An invitation to sign is delivered to $affectedsignatory$ by email.$endif$"
"_simpliefiedTextInvitationUndeliveredByEmail","Inbjudan kunde inte levereras till $affectedsignatory$ via e-post och fortsatta kontaktförsök har avbtutits.","The invitation to sign could not be delivered to $affectedsignatory$ by email and continued contact attempts have been cancelled."
"_simpliefiedTextInvitationDeliveredBySMS","$if(viewing)$En inbjudan att granska levereras till $affectedsignatory$ via SMS.$else$En inbjudan att signera levereras till $affectedsignatory$ via SMS.$endif$","$if(viewing)$An invitation to view is delivered to $affectedsignatory$ by SMS.$else$An invitation to sign is delivered to $affectedsignatory$ by SMS.$endif$"
"_simpliefiedTextInvitationUndeliveredBySMS","Inbjudan kunde inte levereras till $affectedsignatory$ via SMS och fortsatta kontaktförsök har avbtutits.","The invitation to sign could not be delivered to $affectedsignatory$ by SMS and continued contact attempts have been cancelled."
"_simpliefiedTextReminderSend","En påminnelse skickas till $affectedsignatory$$if(text)$ via $_delivery_method()$ med meddelandet: <BR/><i>$text:noescape()$</i>$else$.$endif$","A reminder is sent to $affectedsignatory$$if(text)$ via $_delivery_method()$ with message: <BR/> <i>$text:noescape()$</i>$else$.$endif$"
"_simpliefiedTextResealedPDF","På grund av ett problem med den automatiska förseglingen så återförseglas dokumentet av en behörig administratör på Scrive.","Because of a problem with the automated sealing procedure the document is resealed by a specially authorized Scrive admin."
"_simpliefiedTextCancelDocumenElegEvidence","Inbjudan att signera återkallas automatiskt då personuppgifterna för $if(affectedsignatory)$$affectedsignatory$$else$en part$endif$ inte stämde överens med uppgifterna i den e-legitimation som användes vid signering.","The invitation to sign was withdrawn automatically as $if(affectedsignatory)$$affectedsignatory$$else$one party$endif$'s personal details did not match the details in the eID that was used at signing."
"_simpliefiedTextProlongDocumentEvidence","Dokumentets förfallodag förlängs","The document signing deadline is extended"
"_delivery_method","$if(pad)$pad$elseif(email)$e-post$elseif(mobile)$SMS$elseif(emailmobile)$e-post och SMS$endif$","$if(pad)$pad$elseif(email)$email$elseif(mobile)$SMS$elseif(emailmobile)$email and SMS$endif$"
"_authorviewGoToSignview","Gå till signeringsvyn","Go to the sign view"
"_authorviewSignatoriesTitle","Parter","Parties"
"_authorviewRequestedFrom"," begärdes av "," requested by "
"_authorviewUploadedBy"," laddades upp av "," uploaded by "
"_authorviewSignNow","Vänligen gå till signeringsvyn för att signera detta dokument.","Please go to the sign view to sign this document"
"_authorviewSignedAndClosed","Dokumentet har förseglats av Scrive","The document has been sealed by Scrive"
"_authorviewClosed","Dokumentet har förseglats av Scrive","The document has been sealed by Scrive"
"_authorviewSignedNotClosed","Väntar på att signerande parter ska signera","Waiting for signatories to sign"
"_authorviewCanceled","Detta dokument har återkallats","This document was withdrawn"
"_authorviewRejected","Detta dokument har avvistats","This document was rejected"
"_authorviewTimeouted","Förfallodatum att signera detta dokument har passerat","The due date to sign this document has passed"
"_authorviewPending","Väntar på att signerande parter ska signera","Waiting for signatories to sign"
"_historyTime","Tid","Time"
"_historyParty","Part","Party"
"_historyDescription","Beskrivning","Description"
"_historyExpand","Expandera för att se mer","Expand to view more"
"_historyAvailable","tillgängligt","available"
"_historyHide","Göm","Hide"
"_writeHere","Skriv där","Write there"
"_checkHere","Klicka där","Click there"
"_headerFeatures","Features","Features"
"_headerPricing","Priser","Pricing"
"_headerLegal","Juridik","Legal"
"_headerCases","Case","Cases"
"_headerGetStarted","Kom igång","Get started"
"_headerAbout","Teamet","The team"
"_headerContakt","Kontakt","Contact"
"_startFreeTrial","Starta gratis test","Start free trial"
"_footerVerifyDocument","Verifiera dokument","Verify document"
"_footerAbout","Teamet","The team"
"_footerContact","Kontakt","Contact"
"_welcomeback","Välkommen!","Welcome!"
"_resetYourPassword","Återställ ditt lösenord","Reset your password"
"_resetYourPasswordCheckEmail","Ange din e-postadress nedan och klicka på återställ.","Check your email after filling out this form."
"_getStartedInstantly","Kom igång direkt.","Get started immediately."
"_freeDocumentPerMonth","3 fria dokument per månad.","3 free documents per month."
"_signUp","Skapa konto","Sign up"
"_verificationSuccess","Giltig signatur","Valid signature"
"_verificationFailed","Verifiering har misslyckats","The verification failed"
"_verificationFailedMessage","Detta dokument har inte signerats genom Scrive eller så har någon ändrat i originalet.","This document has not been signed using Scrive or the original has been altered by someone."
"_verificationError","Problem","Error"
"_verificationErrorMessage","Ett fel uppstod under tiden vi försökte verifiera signaturen. Vänligen försök igen.","An error occured while trying to verify the signature. Please try again."
"_verificationTime","Tid","Time"
"_verificationGateway","Gateway","Gateway"
"_padGiveForSigningThisDevice","Lämna för signering på denna enhet till","Give for signing on this device to"
"_welcome","Välkommen","Welcome"
"_accessNewAccountHeader","Välkommen till ditt e-arkiv!","Welcome to your e-archive!"
"_accessNewAccountBody","Vänligen börja med att skapa ett lösenord.  Framöver kommer du att kunna logga in till ditt e-arkiv genom att ange din epost-adress och detta lösenord.","Please start by creating a password.  In the future, you will be able to access your e-archive by entering your email address and this password."
"_accessNewAccountButton","Spara lösenord och gå till e-arkivet","Set password and go to the e-archive"
"_accessNewAccountMailContentBody","Du har mottagit ett signerat dokument i ett separat mail. På din begäran har vi också sparat dokumentet. Klicka på <a href=""$ctxhostpart$$passwordlink$"">denna länk för att komma till ditt e-arkiv.</a>","You have received a signed document in separate email.  On your request we have also saved the document. Click <a href=""$ctxhostpart$$passwordlink$"">this link to access your e-archive.</a>"
"_accessNewAccountMailTitle","Ett dokument har sparats i ditt e-arkiv","A document was saved in your e-archive"
"_accountFromSignInputsBodyAcceptTOS","Jag har läst och accepterat <a target='_blank' class='clickable' href='/sv/terms'>Scrive Allmänna Villkor</a>","I have read and accept the <a target='_blank' class='clickable' href='/en/terms'>Scrive Terms of Service</a>"
"_signViewCreateAccountTitle","Spara en säkerhetskopia?","Save a safety copy?"
"_signViewCreateAccountSubTitle","Vill du spara en egen säkerhetskopia i Scrives e-arkiv? Det kostar inget.","Do you want to save your own safety copy in Scrive's e-archive? It's free of charge."
"_signViewCreateAccountLabel","Spara dokumentet","Save document"
"_signViewCreatedAccountTitle","Dokumentet sparat!","Document saved!"
"_signViewCreatedAccountSubtitle","Vi har mailat en länk som du kan använda för att komma åt ditt dokument framöver.","We have mailed a link which will let you access your document in the future."
"_signViewShareTitle","Gillade du denna signeringsupplevelse?","Did you like this signing experience?"
"_signViewTextField","textfält","text box"
"_signViewCheckbox","kryssruta","check box"
"_facebookButtonLabel","Gilla oss på Facebook","Like us on Facebook"
"_tweetButtonLabel","Twittra om Scrive","Tweet about Scrive"
"_phoneButtonLabel","Ring mig och berätta mer","Please call me"
"_phoneFormDescription","Mitt nummer är","My number is"
"_phoneSubmitButtonLabel","OK","OK"
"_phoneConfirmationText","Tack, en representant för Scrive kommer att försöka ringa dig inom en arbetsdag.","Thanks, someone from Scrive will try to call you within one work day."
"_startButtonLabel","Ta mig till tjänsten bara!","Just take me to the service!"
"_flashMessageInvalidEmailFormat","E-post är ej korrekt formaterad.","Email is incorrectly formated."
"_flashCantChangeEmail","Vi beklagar, vald epostadress är tagen.","We are sorry, the selected email is taken."
